lyrics,moods
"I had a vision A vision of my nails in the kitchen Scratchin' counter tops, I was screamin' My back arched like a cat My position couldn't stop, you were hittin' And I shouldn't cry, but I love it, starboy And I shouldn't cry, but I love it (I love it), starboy And I shouldn't cry, but I love it, starboy And I shouldn't cry, but I love it, starboy I just wanna see you shine 'cause I know you are a stargirl I just wanna see you shine 'cause I know you are a stargirl I just wanna see you shine 'cause I know you are a stargirl I just wanna see you shine 'cause I know you are a stargirl","romantic,mysterious, focused, calm"
"It may not mean nothin' to y'all But understand, nothin' was done for me So I don't plan on stoppin' at all I want this **** forever, mane, 'ever, mane, 'ever, mane I'm shuttin' **** down in the mall And tellin' every girl she the one for me And I ain't even plannin' to call I want this **** forever, mane, 'ever, mane, 'ever, mane Last name Ever, first name Greatest Like a sprained ankle, boy, I ain't nothin' to play with Started off local, but thanks to all the haters I know G-IV pilots on a first name basis In your city, faded off the brown, Nino She insist she got more class, we know Swimmin' in the money, come and find me, Nemo If I was at the club, you know I balled, chemo Dropped the mixtape, that **** sounded like a album Who'da thought a countrywide tour'd be the outcome? Labels want my name beside a X, like Malcolm Everybody got a deal, I did it without one Yeah, ****, I'm about my business Killin' all these rappers, you would swear I had a hit list Everyone who doubted me is askin' for forgiveness If you ain't been a part of it, at least you got to witness, bitches It may not mean nothin' to y'all But understand, nothin' was done for me So I don't plan on stoppin' at all I want this **** forever, mane, 'ever, mane, 'ever, mane I'm shuttin' **** down in the mall And tellin' every girl she the one for me And I ain't even plannin' to call I want this **** forever, mane, 'ever, mane, 'ever, mane Ayy, ever-ever, Mr. West is in the buildin' Ain't no question who about to kill 'em I used to have hood dreams, big fame, big chains I stuck my **** inside this life until that **** came And went hard all fall like the ball teams Just so I can make it rain all spring Y'all seen my story, my glory I had raped the game young, you could call it statutory When a **** blow up, they gon' build statues for me Old money, Benjamin Button, 'What?' nothin' Now it's super bad chicks givin' me McLovin You would think I ran the world like Michelle's husband You would think these niggas know me when they really doesn't Like they was down with the old me, no you fuckin' wasn't Um, you're such a fuckin' loser He ain't even go to class, Bueller Trade the Grammy plaques just to have my granny back 'Member she had that bad hip like a fanny pack? Chasin' the stardom will turn you to a maniac All the way in Hollywood and I can't even act They pull they cameras out and, ****, he snap I used to want this thing forever, y'all can have it back It may not mean nothin' to y'all But understand, nothin' was done for me So I don't plan on stoppin' at all I want this **** forever, mane, 'ever, mane, 'ever, mane I'm shuttin' **** down in the mall And tellin' every girl she the one for me And I ain't even plannin' to call I want this **** forever, mane, 'ever, mane, 'ever, mane Okay, hello, it's the Martian, Space Jam Jordans I want this **** forever, wake up and smell the garden Fresher than the harvest, step up to the target If I had one guess, then I guess I'm just New Orleans And I will never stop like I'm runnin' from the cops Hopped up in my car and told my chauffeur, 'To the top' Life is such a fuckin' roller coaster, then it drops But what should I scream for? This is my theme park My mind shine even when my thoughts seem dark Pistol on my side, you don't wanna hear that thing talk Let the king talk, check the price and pay attention Lil Wayne, that's what they gotta say or mention I'm like Nevada in the middle of the summer I'm restin' in the lead, I need a pillow and a cover Shh, my foot's sleepin' on the gas No brake pads, no such thing as last, huh It may not mean nothin' to y'all But understand, nothin' was done for me So I don't plan on stoppin' at all I want this **** forever, mane, 'ever, mane, 'ever, mane I'm shuttin' **** down in the mall And tellin' every girl she the one for me And I ain't even plannin' to call I want this **** forever, mane, 'ever, mane, 'ever, mane There they go, packin' stadiums as Shady spits his flow Nuts they go, Macadamian, they go so ballistic, woah He can make them look like bozos, he's wonderin' if he should spit this slow **** no, go for broke, his cup just runneth over, oh no He ain't had him a buzz like this since the last time that he overdosed They been waiting patiently for Pinocchio to poke his nose Back into the game and they know rap will never be the same as befo' Bashin' in the brains of these hoes and establishin' a name as he goes The passion in the flame is ignited, you can't put it out once we light it This **** is exactly what the **** that I'm talkin' about when we riot You dealin' with a few true villains who stand inside of the booth, truth-spillin' And spit true feelings until our tooth fillings come flyin' up out of our mouths, now rewind it Payback, ****, for the way that you doubted me, how's it taste? When I slap the taste outta your mouths with a bass so loud that it shakes the place I'm Hannibal Lecter, so just in case you're thinkin' of savin' face You ain't gonna have no face to save by the time I'm through with this place, so, Drake It may not mean nothin' to y'all But understand, nothin' was done for me So I don't plan on stoppin' at all I want this **** forever, mane, 'ever, mane, 'ever, mane I'm shuttin' **** down in the mall And tellin' every girl she the one for me And I ain't even plannin' to call I want this **** forever, mane, 'ever, mane, 'ever, mane",energetic
"I found a guy, told me I was a star He held the door, held my hand in the dark And he's perfect on paper, but he's lying to my face Does he think that I'm the kinda girl who needs to be saved? And there's one more boy, he's from my past We fell in love, but it didn't last 'Cause the second I figure it out, he pushes me away And I won't fight for love if you won't meet me halfway And I say that I'm through, but this song's still for you All I want is love that lasts Is all I want too much to ask? Is it something wrong with me? All I want is a good guy Are my expectations far too high? Try my best, but what can I say? All I have is myself at the end of the day But shouldn't that be enough for me? Ooh-ooh-ooh-ooh, ooh-ooh And I miss the days when I was young and naive I thought the perfect guy would come and find me Now happy ever after, it don't come so easily All I want is love that lasts Is all I want too much to ask? Is it something wrong with me? Oh, ooh All I want is a good guy Are my expectations far too high? Try my best but what can I say? All I have is myself at the end of the day And all I want is for that to be okay","sad,focused"
"I don't go out, but I'll do it for you You never liked it when I drink too much I hate to dance, but I'll dance with you 'Cause I'd do anything to feel your touch Don't like anybody, tell me why it's different with you Don't believe in love, but no one makes me feel like you do I don't say it much, 'cause I just always thought that you knew, ahh It's what you do to me I'm wrapped around your finger and I can't stop You know I got a soft spot for you You know I got a soft spot for you Baby, can't you see? I need you, 'cause you're everything that I'm not You know I got a soft spot for you You know I got a soft spot for you Too late Don't wanna fall, baby, I just Don't need somebody else to throw me aside But I'm up all night Thinkin' 'bout how it can be you to change my heart, but I Don't like anybody, tell me why it's different with you Don't believe in love, but no one makes me feel like you do I don't say it much, 'cause I just always thought that you knew, ahh It's what you do to me I'm wrapped around your finger and I can't stop You know I got a soft spot for you You know I got a soft spot for you Baby, can't you see? I need you, 'cause you're everything that I'm not You know I got a soft spot for you You know I got a soft spot for you For you For you For you You know I got a soft spot for you It's what you do to me I'm wrapped around your finger and I can't stop You know I got a soft spot for you You know I got a soft spot for you","calm,romantic"
"I know a place It's somewhere I go when I need to remember your face We get married in our heads Something to do while we try to recall how we met Do you think I have forgotten? Do you think I have forgotten? Do you think I have forgotten About you? You and I (Don't let go) We're alive (Don't let go) With nothing to do, I could lay and just look in your eyes Wait (Don't let go) And pretend (Don't let go, oh) Hold on and hope that we'll find our way back in the end (In the end) Do you think I have forgotten? Do you think I have forgotten? Do you think I have forgotten About you? Do you think I have forgotten? Do you think I have forgotten? Do you think I have forgotten About you? And there was something about you that now I can't remember It's the same **** thing that made my heart surrender And I'll miss you on a train, I'll miss you in the mornin' I never know what to think about I think about you (Don't let go) About you (Don't let go) Do you think I have forgotten About you? About you (Don't let go, oh) About you About you Do you think I have forgotten About you? About you (Don't let go)","romantic,calm,focused,sad"
"You and me, we made a vow For better or for worse I can't believe you let me down But the proof's in the way it hurts For months on end, I've had my doubts Denyin' every tear I wish this would be over now But I know that I still need you here You say I'm crazy 'Cause you don't think I know what you've done But when you call me 'baby' I know I'm not the only one You've been so unavailable Now, sadly, I know why Your heart is unobtainable Even though Lord knows you kept mine You say I'm crazy 'Cause you don't think I know what you've done But when you call me 'baby' I know I'm not the only one I have loved you for many years Maybe I am just not enough You've made me realise my deepest fear By lyin' and tearin' us up You say I'm crazy 'Cause you don't think I know what you've done But when you call me 'baby' I know I'm not the only one You say I'm crazy 'Cause you don't think I know what you've done But when you call me 'baby' I know I'm not the only one I know I'm not the only one I know I'm not the only one And I know, and I know, and I know, and I know, and I know, and I know, know I know I'm not the only one","sad,calm,focused"
"Sun is shining, it's over It's tomorrow Bathe yourself in the light, in your love XO Ooh, yeah, ooh, yeah, no Ever since I was a jit, knew I was the **** (Ooh, yeah) Shawty keep wanna come 'round, she wanna get hit (Wanna get hit so hard) She think she the main because I keep her by my side Double-O, bust down the watch, she know that I'm timeless (Timeless) I put my son in some Rick I pull that gun off the hip Pockets hold twenty-two clips (Ah) I break her heart, Comme Garçon Put on a shirt, get put on a blimp **** like a stain, get ready to lick I had to tell her that ever since I was a jit, knew I was the **** (Oh) She singin' my songs, she wanna die lit, tryna get hit House like a bank, deposit this ****, 'posit that check Smile on my face, ain't fearing ****, come and get checked (Uh) Ice on my neck, double-O wrist She in the Scat, hell of a 'Cat Fresh out the trench, four hundred packs Uh, yeah, I'm spinnin' in Paris (Uh) Dress for these hoes, they finna flock Just poured a four in a soda, it pop Them drugs finna hit, I'm feelin' ill I'm wrestlin' all of my demons, I feel like The Rock (****, uh, yeah) Ever since I was a kid, I been legit (Jit, ooh, nah) If I was you, I would cut up my wrist (Dumb bit') XO tatted all over her body, yeah (Yeah) She just wanna roll and I don't mind it, yeah Ever since I was a jit, I been legit (Ooh, nah, uh) You should let her go, she wanna be it (Oh, yeah) Double-O tatted on her body, yeah It don't matter what they say, I'm timeless, yeah (Schyeah) Oh, city on fire when I'm comin' home Fill up the sky (Yeah), I fill up the Dome They'll play it one day (Yeah), it's a hell of a show But it's gonna hurt 'cause we did it first Feel like Skateboard P, BBC boys on the creep Feel like it's '03, Neptune drum with a beam (Yeah) She hippie-flippin' a bean, she wanna **** with the team She fell in love with the cream (Yeah), she fell in love with the scene Ooh, yeah, her man quiet, not a peep (Oh, nah) Broke his heart, PTSD (Oh, nah) Hold his chest, let it breathe Let it breathe, niggas scheme And I got a priest, he got a cross Get out of line, send him to God I shed a tear, pray for a loss, ooh, yeah (Yeah) Ever since I was a kid, I been legit (Homixide, Homixide, Homixide, oh, oh) If I was you, I would cut up my wrist (Ah) XO tatted all over her body, yeah (Body, yeah) She just wanna roll and I don't mind it, yeah Ever since I was a jit, I been legit (Yeah, ooh, nah) You should let her go, she wanna be it (Oh, nah) Double-O tatted on her body, yeah (Body, yeah) It don't matter what they say, I'm timeless Timeless (Oh), timeless, timeless Timeless, timeless, timeless, we timeless, oh Timeless, timeless, timeless (Yeah), timeless Timeless (Yeah), timeless, timeless, we timeless, oh Oh (Blatt) Oh (Yuh, lit)","energetic,mysterious,focused"
"Ooh-ooh-ooh, ooh Ooh-ooh-ooh I tell myself you don't mean a thing And what we got got no hold on me But when you're not there, I just crumble I tell myself I don't care that much But I feel like I die 'till I feel your touch Only love, only love can hurt like this Only love can hurt like this Must've been a deadly kiss Only love can hurt like this Say I wouldn't care if you walked away (Oh) But every time you're there I'm begging you to stay When you come close (When you come close), I just tremble And every time, every time you go (Go-oh) It's like a knife that cuts right to my soul Only love, only love can hurt like this Only love can hurt like this Must've been a deadly kiss Only love can hurt like this Only love can hurt like this Your kisses burning to my skin Only love can hurt like this But it's the sweetest pain Burning hot through my veins Love is torture, makes me more sure Only love can hurt like this (Ooh-ooh-ooh, ooh Ooh-ooh-ooh) Only love can hurt like this Only love can hurt like this Must've been a deadly kiss Only love can hurt like this Only love can hurt like this Your kisses burning to my skin Only love can hurt like this (Only love can hurt like this) Only love can hurt like this (Only love can hurt) Save me, save me Only love, only love 'Cause only love can hurt like this And it must've been a deadly kiss","sad,energetic"
"Through it all once again, came to know my only friend Lost control Can't begin, I seek within To feel the warmth brought within your skin Did you know? For how it seemed I should've stayed and let you be Run into my heart so carelessly That's the reason I'm afraid You're the thoughts that can't be tamed And I'm trying to be sane And I'm trying to be sane And I'm trying to be sane","calm,sad"
"(Ooh, ooh) I, I just woke up from a dream Where you and I had to say goodbye And I don't know what it all means But since I survived, I realized Wherever you go, that's where I'll follow Nobody's promised tomorrow So I'ma love you every night like it's the last night Like it's the last night If the world was ending I'd wanna be next to you If the party was over And our time on Earth was through I'd wanna hold you just for a while And die with a smile If the world was ending I'd wanna be next to you (Ooh, ooh) Ooh, lost, lost in the words that we scream I don't even wanna do this anymore 'Cause you already know what you mean to me And our love's the only war worth fighting for Wherever you go, that's where I'll follow Nobody's promised tomorrow So I'ma love you every night like it's the last night Like it's the last night If the world was ending I'd wanna be next to you If the party was over And our time on Earth was through I'd wanna hold you just for a while And die with a smile If the world was ending I'd wanna be next to you Right next to you Next to you Right next to you Oh-oh If the world was ending I'd wanna be next to you If the party was over And our time on Earth was through I'd wanna hold you just for a while And die with a smile If the world was ending I'd wanna be next to you If the world was ending I'd wanna be next to you (Ooh, ooh) I'd wanna be next to you","sad,romantic"
